
=== RECUPERATION DIRECTE DES 3 NIVEAUX ===

  [PROGRESSION]    0,0% | bibliotheque 0/0 | demarrage | 0 dossier(s) | fin estimee: calcul en cours
  [PROGRESSION]    3,2% | bibliotheque 1/17 | groupes/roles du niveau 3 | 170 dossier(s) | fin estimee: 16:36:33
  [PROGRESSION]    3,2% | bibliotheque 1/17 | groupes/roles du niveau 3 | 171 dossier(s) | fin estimee: 16:36:32
  [PROGRESSION]    3,3% | bibliotheque 1/17 | groupes/roles du niveau 3 | 172 dossier(s) | fin estimee: 16:36:31
  [PROGRESSION]    3,3% | bibliotheque 1/17 | groupes/roles du niveau 3 | 173 dossier(s) | fin estimee: 16:36:29
  [PROGRESSION]    3,3% | bibliotheque 1/17 | groupes/roles du niveau 3 | 174 dossier(s) | fin estimee: 16:36:28
  [PROGRESSION]    3,3% | bibliotheque 1/17 | groupes/roles du niveau 3 | 175 dossier(s) | fin estimee: 16:36:27
  [PROGRESSION]    3,3% | bibliotheque 1/17 | groupes/roles du niveau 3 | 176 dossier(s) | fin estimee: 16:36:24
  [PROGRESSION]    3,3% | bibliotheque 1/17 | groupes/roles du niveau 3 | 177 dossier(s) | fin estimee: 16:36:24
  [PROGRESSION]    3,3% | bibliotheque 1/17 | groupes/roles du niveau 3 | 178 dossier(s) | fin estimee: 16:36:23
  [PROGRESSION]    3,3% | bibliotheque 1/17 | groupes/roles du niveau 3 | 179 dossier(s) | fin estimee: 16:36:23
  [PROGRESSION]    3,3% | bibliotheque 1/17 | groupes/roles du niveau 3 | 180 dossier(s) | fin estimee: 16:36:22
  [PROGRESSION]    3,3% | bibliotheque 1/17 | groupes/roles du niveau 3 | 181 dossier(s) | fin estimee: 16:36:21
  [PROGRESSION]    3,3% | bibliotheque 1/17 | groupes/roles du niveau 3 | 182 dossier(s) | fin estimee: 16:36:18
  [PROGRESSION]    3,3% | bibliotheque 1/17 | groupes/roles du niveau 3 | 183 dossier(s) | fin estimee: 16:36:18
  [PROGRESSION]    3,4% | bibliotheque 1/17 | groupes/roles du niveau 3 | 184 dossier(s) | fin estimee: 16:36:16
  [PROGRESSION]    3,4% | bibliotheque 1/17 | groupes/roles du niveau 3 | 185 dossier(s) | fin estimee: 16:36:16
  [PROGRESSION]    3,4% | bibliotheque 1/17 | groupes/roles du niveau 3 | 186 dossier(s) | fin estimee: 16:36:16
  [PROGRESSION]    3,4% | bibliotheque 1/17 | groupes/roles du niveau 3 | 187 dossier(s) | fin estimee: 16:36:17
  [PROGRESSION]    3,4% | bibliotheque 1/17 | groupes/roles du niveau 3 | 188 dossier(s) | fin estimee: 16:36:15
  [PROGRESSION]    3,4% | bibliotheque 1/17 | groupes/roles du niveau 3 | 189 dossier(s) | fin estimee: 16:36:14
  [PROGRESSION]    3,4% | bibliotheque 1/17 | groupes/roles du niveau 3 | 190 dossier(s) | fin estimee: 16:36:12
  [PROGRESSION]    3,4% | bibliotheque 1/17 | groupes/roles du niveau 3 | 191 dossier(s) | fin estimee: 16:36:12
  [PROGRESSION]    3,4% | bibliotheque 1/17 | groupes/roles du niveau 3 | 192 dossier(s) | fin estimee: 16:36:10
  [PROGRESSION]    3,4% | bibliotheque 1/17 | groupes/roles du niveau 3 | 193 dossier(s) | fin estimee: 16:36:08
  [PROGRESSION]    3,4% | bibliotheque 1/17 | groupes/roles du niveau 3 | 194 dossier(s) | fin estimee: 16:36:08
  [PROGRESSION]    3,4% | bibliotheque 1/17 | groupes/roles du niveau 3 | 195 dossier(s) | fin estimee: 16:36:08
  [PROGRESSION]    3,5% | bibliotheque 1/17 | groupes/roles du niveau 3 | 196 dossier(s) | fin estimee: 16:36:07
  [PROGRESSION]    3,5% | bibliotheque 1/17 | groupes/roles du niveau 3 | 197 dossier(s) | fin estimee: 16:36:05
  [PROGRESSION]    3,5% | bibliotheque 1/17 | groupes/roles du niveau 3 | 198 dossier(s) | fin estimee: 16:36:04
  [PROGRESSION]    3,5% | bibliotheque 1/17 | groupes/roles du niveau 3 | 199 dossier(s) | fin estimee: 16:36:02
  [PROGRESSION]    3,5% | bibliotheque 1/17 | groupes/roles du niveau 3 | 200 dossier(s) | fin estimee: 16:36:01
  [PROGRESSION]    3,5% | bibliotheque 1/17 | groupes/roles du niveau 3 | 201 dossier(s) | fin estimee: 16:36:00
  [PROGRESSION]    3,5% | bibliotheque 1/17 | groupes/roles du niveau 3 | 202 dossier(s) | fin estimee: 16:35:59
  [PROGRESSION]    3,5% | bibliotheque 1/17 | groupes/roles du niveau 3 | 203 dossier(s) | fin estimee: 16:35:59
